,vectorizer,similarity_metric,min_df_param,max_df_param,language,langfilter,accuracy (%),accuracy (average relevancy > 0) (%),ndcg,ndcg (full rank)
0,tfidf,cosine,0.0,0.8,python,False,22.143579373104146,23.208191126279864,0.2704019450732699,0.14624053670692858
1,tfidf,cosine,0.6,0.8,java,True,0.0,0.0,0.0,0.0
2,tfidf,cosine,0.6,1.0,python,True,0.0,0.0,0.0,0.0
3,tfidf,cosine,0.2,0.6,javascript,False,0.0,0.0,0.0,0.0
4,tfidf,cosine,0.6,0.8,python,False,0.0,0.0,0.0,0.0
5,tfidf,cosine,100,None,java,True,0.0,0.0,0.0,0.0
6,tfidf,cosine,0.0,0.8,python,True,22.143579373104146,23.208191126279864,0.27203700644559636,0.14618746430305518
7,tfidf,cosine,0.6,1.0,javascript,False,0.0,0.0,0.0,0.0
8,tfidf,cosine,0.2,1.0,python,False,0.10111223458038424,0.0,0.0,0.0
9,tfidf,cosine,0.4,0.6,go,True,0.0,0.0,0.0,0.0
10,tfidf,cosine,0.6,0.8,javascript,False,0.0,0.0,0.0,0.0
11,tfidf,cosine,0.2,0.8,java,False,0.0,0.0,0.0,0.0
12,tfidf,cosine,0.0,1.0,go,False,0.0,0.0,0.0,0.0
13,tfidf,cosine,100,None,java,False,0.0,0.0,0.0,0.0
14,tfidf,cosine,100,None,javascript,True,0.0,0.0,0.0,0.0
15,tfidf,cosine,0.4,0.8,go,True,0.0,0.0,0.0,0.0
16,tfidf,cosine,0.4,0.6,python,True,0.0,0.0,0.0,0.0
17,tfidf,cosine,0.0,1.0,javascript,True,0.0,0.0,0.0,0.0
18,tfidf,cosine,100,None,python,False,24.469160768452983,25.483503981797494,0.28485839171554095,0.14693658391331924
19,tfidf,cosine,0.2,0.8,python,True,0.0,0.0,0.0,0.0
20,tfidf,cosine,0.2,0.6,java,False,0.0,0.0,0.0,0.0
21,tfidf,cosine,0.0,0.6,javascript,False,0.0,0.0,0.0,0.0
22,tfidf,cosine,0.0,0.6,python,False,22.04246713852376,23.094425483503983,0.26994964062618143,0.1439474715710789
23,tfidf,cosine,0.0,1.0,go,True,0.0,0.0,0.0,0.0
