model_name,query,language,function,url
tfidf_python_100_1.0,convert int to string,python,"def convert_number(string):
    """"""Convert a string to number
    If int convert to int otherwise float
    
    If not possible return None
    """"""
    res = None
    if isint(string):
        res = int(string)
    elif isfloat(string):
        res = float(string) 
    return res",https://github.com/Clinical-Genomics/scout/blob/90a551e2e1653a319e654c2405c2866f93d0ebb9/scout/utils/convert.py#L24-L35
tfidf_python_100_1.0,convert int to string,python,"def _to_number(cls, string):
        """"""Convert string to int or float.""""""
        try:
            if float(string) - int(string) == 0:
                return int(string)
            return float(string)
        except ValueError:
            try:
                return float(string)
            except ValueError:
                return string",https://github.com/dgomes/pyipma/blob/cd808abeb70dca0e336afdf55bef3f73973eaa71/pyipma/api.py#L35-L45
tfidf_python_100_1.0,convert int to string,python,"def html_to_red_green_blue(string):
    string = _extract_html_hex(string)
    if string is None:
        return None, None, None
    return int(string[:2], 16), int(string[2:4], 16), int(string[4:], 16)",https://github.com/jalanb/pysyte/blob/4e278101943d1ceb1a6bcaf6ddc72052ecf13114/pysyte/colours/colour_numbers.py#L103-L107
tfidf_python_100_1.0,convert int to string,python,"def datetime_from_str(string):
    """"""

    Args:
        string: string of the form YYMMDD-HH_MM_SS, e.g 160930-18_43_01

    Returns: a datetime object

    """"""


    return datetime.datetime(year=2000+int(string[0:2]), month=int(string[2:4]), day=int(string[4:6]), hour=int(string[7:9]), minute=int(string[10:12]),second=int(string[13:15]))",https://github.com/LISE-B26/pylabcontrol/blob/67482e5157fcd1c40705e5c2cacfb93564703ed0/build/lib/pylabcontrol/src/core/helper_functions.py#L187-L198
tfidf_python_100_1.0,convert int to string,python,"def convert_string(string):
    """"""Convert string to int, float or bool.
    """"""
    if is_int(string):
        return int(string)
    elif is_float(string):
        return float(string)
    elif convert_bool(string)[0]:
        return convert_bool(string)[1]
    elif string == 'None':
        return None
    else:
        return string",https://github.com/theislab/scanpy/blob/9e4e5ee02e04cf618872d9b098e24f0542e8b227/scanpy/readwrite.py#L602-L614
tfidf_python_100_1.0,convert int to string,python,"def _isint(string):
    """"""
    >>> _isint(""123"")
    True
    >>> _isint(""123.45"")
    False
    """"""
    return type(string) is int or \
           (isinstance(string, _binary_type) or isinstance(string, _text_type)) and \
           _isconvertible(int, string)",https://github.com/pgmpy/pgmpy/blob/9381a66aba3c3871d3ccd00672b148d17d63239e/pgmpy/extern/tabulate.py#L254-L263
tfidf_python_100_1.0,convert int to string,python,"def int2base36(n):
    """"""
    Convert int base10 to base36.
    Back convert: int('<base36>', 36)
    """"""
    assert isinstance(n, (int, long))
    c = '0123456789abcdefghijklmnopqrstuvwxyz'
    if n < 0:
        return '-' + int2base36(-n)
    elif n < 36:
        return c[n]
    b36 = ''
    while n != 0:
        n, i = divmod(n, 36)
        b36 = c[i] + b36
    return b36",https://github.com/liminspace/dju-common/blob/c68860bb84d454a35e66275841c20f38375c2135/dju_common/tools.py#L23-L38
tfidf_python_100_1.0,convert int to string,python,"def _str_to_int(self, string, bits=8):
        i = 0
        if len(string) < 3:
            i = int(string, 10)
        elif string[0:2] == '0b' or string[0:3] == '-0b':
            i = int(string, 2)
        elif string[0:2] == '0o' or string[0:3] == '-0o':
            i = int(string, 8)
        elif string[0:2] == '0x' or string[0:3] == '-0x':
            i = int(string, 16)
        else:
            i = int(string)

        return self._get_complement(i, bits)",https://github.com/ymyzk/sasm/blob/3abf18affeb2f346b2a825018bfb6029c46d1512/sasm/instructions.py#L33-L46
tfidf_python_100_1.0,convert int to string,python,"def _isint(string):
    """"""
    >>> _isint(""123"")
    True
    >>> _isint(""123.45"")
    False
    """"""
    return type(string) is int or \
        (isinstance(string, _binary_type) or
         isinstance(string, string_types)) and \
        _isconvertible(int, string)",https://github.com/solvebio/solvebio-python/blob/b29614643043afd19c1d8074e8f25c6700d51a73/solvebio/utils/tabulate.py#L160-L170
tfidf_python_100_1.0,convert int to string,python,"def data_to_uuid(data):
    """"""Convert an array of binary data to the iBeacon uuid format.""""""
    string = data_to_hexstring(data)
    return string[0:8]+'-'+string[8:12]+'-'+string[12:16]+'-'+string[16:20]+'-'+string[20:32]",https://github.com/citruz/beacontools/blob/15a83e9750d0a4393f8a36868e07f6d9458253fe/beacontools/utils.py#L24-L27
tfidf_python_100_1.0,convert int to string,python,"def try_int_or_force_to_lower_case(input_str: str) -> Union[int, str]:
    """"""
    Tries to convert the passed-in string to an integer. If that fails, it converts it to lower case using norm_fold.
    :param input_str: string to convert
    :return: the string as an integer or a lower case version of the string
    """"""
    try:
        return int(input_str)
    except ValueError:
        return norm_fold(input_str)",https://github.com/python-cmd2/cmd2/blob/b22c0bd891ed08c8b09df56df9d91f48166a5e2a/cmd2/utils.py#L226-L235
tfidf_python_100_1.0,convert int to string,python,"def __init__(self, actfunc, strfunc, convert=lambda x: x):
        self.actfunc = actfunc
        self.strfunc = strfunc
        self.convert = convert",https://github.com/iotile/coretools/blob/2d794f5f1346b841b0dcd16c9d284e9bf2f3c6ec/iotilebuild/iotile/build/config/scons-local-3.0.1/SCons/Action.py#L1379-L1382
tfidf_python_100_1.0,convert int to string,python,"def c_str(string):
    """"""""Convert a python string to C string.""""""
    if not isinstance(string, str):
        string = string.decode('ascii')
    return ctypes.c_char_p(string.encode('utf-8'))",https://github.com/apache/incubator-mxnet/blob/1af29e9c060a4c7d60eeaacba32afdb9a7775ba7/amalgamation/python/mxnet_predict.py#L40-L44
tfidf_python_100_1.0,convert int to string,python,"def fromString(cls, string):
        """"""
        Convert a serialized Unicode string to a L{TaskLevel}.

        @param string: Output of L{TaskLevel.toString}.

        @return: L{TaskLevel} parsed from the string.
        """"""
        return cls(level=[int(i) for i in string.split(""/"") if i])",https://github.com/itamarst/eliot/blob/c03c96520c5492fadfc438b4b0f6336e2785ba2d/eliot/_action.py#L106-L114
tfidf_python_100_1.0,convert int to string,python,"def list(inner_type, sep="",""):
    def convert(string):
        return [inner_type(s.strip()) for s in string.split(sep)]

    return convert",https://github.com/GaretJax/coolfig/blob/6952aabc6ad2c9684d5d98dc470313f8f13fe636/coolfig/types.py#L49-L53
tfidf_python_100_1.0,convert int to string,python,"def pathcase(string):
    """"""Convert string into path case.
    Join punctuation with slash.

    Args:
        string: String to convert.

    Returns:
        string: Path cased string.

    """"""
    string = snakecase(string)
    if not string:
        return string
    return re.sub(r""_"", ""/"", string)",https://github.com/okunishinishi/python-stringcase/blob/700ad111be16b384aadaddcf8199f9390575c7b6/stringcase.py#L86-L100
tfidf_python_100_1.0,convert int to string,python,"def numerify(string):
    return int(''.join(str(_alphabet.index(c)) for c in string))",https://github.com/figo-connect/schwifty/blob/69376fade070dbfdf89c57a0060bc290f7a744bb/schwifty/iban.py#L29-L30
tfidf_python_100_1.0,convert int to string,python,"def value_to_bool(string):
    if isinstance(string, bool):
        return string

    if isinstance(string, int):
        string = str(string)

    if string.lower() in ['1', 'true']:
        return True

    return False",https://github.com/racker/rackspace-monitoring/blob/8a9929e5fd51826c0a392e21bc55acb2aefe54f7/rackspace_monitoring/utils.py#L29-L39
tfidf_python_100_1.0,convert int to string,python,"def _loadAnyChar(parentContext, xmlElement, attributeToFormatMap):
    string = _safeGetRequiredAttribute(xmlElement, 'String', '')
    abstractRuleParams = _loadAbstractRuleParams(parentContext, xmlElement, attributeToFormatMap)
    return _parserModule.AnyChar(abstractRuleParams, string)",https://github.com/andreikop/qutepart/blob/109d76b239751318bcef06f39b2fbbf18687a40b/qutepart/syntax/loader.py#L276-L279
tfidf_python_100_1.0,convert int to string,python,"def _make_identifier(string):
        """"""Attempt to convert string into a valid identifier by replacing invalid characters with ""_""s,
        and prefixing with ""a_"" if necessary.""""""
        string = re.sub(r""[ \-+/\\*%&$£#@.,;:'"" ""?<>]"", ""_"", string)
        if re.match(r""^\d"", string):
            string = ""a_{0}"".format(string)
        return string",https://github.com/brunns/brunns-row/blob/f7076a2d3072447719f728caadf08f33a6a26a7a/src/brunns/row/rowwrapper.py#L67-L73
