vectorizer,similarity_metric,min_df_param,max_df_param,language,langfilter,accuracy (%),accuracy (average relevancy > 0) (%),ndcg,ndcg (full rank)
tfidf,cosine,0.3,0.9,javascript,False,0.0,0.0,0.0,0.0
tfidf,cosine,50,1.0,java,True,24.477244772447722,23.112128146453088,0.20299232890605198,0.10100659330368233
tfidf,cosine,0.0,0.8,python,False,22.143579373104146,23.208191126279864,0.2704019450732699,0.14624053670692858
tfidf,cosine,0.6,0.8,java,True,0.0,0.0,0.0,0.0
tfidf,cosine,0.6,1.0,python,True,0.0,0.0,0.0,0.0
tfidf,cosine,700,0.9,java,True,19.557195571955717,19.450800915331808,0.17781244085407066,0.08497078568418615
tfidf,cosine,0.05,0.7,go,True,0.0,0.0,0.0,0.0
tfidf,cosine,900,1.0,go,True,13.855421686746988,13.461538461538462,0.10388009163993257,0.028019735169319143
tfidf,cosine,0.5,0.9,javascript,False,0.0,0.0,0.0,0.0
tfidf,cosine,0.01,0.4,go,False,2.4096385542168677,1.9230769230769231,0.013067040369730073,0.0024379594674641828
tfidf,cosine,0.1,0.6,go,False,0.0,0.0,0.0,0.0
tfidf,cosine,0.4,0.7,javascript,True,0.0,0.0,0.0,0.0
tfidf,cosine,50,0.9,java,True,24.477244772447722,23.112128146453088,0.20299232890605198,0.10100659330368233
tfidf,cosine,0.2,0.6,javascript,False,0.0,0.0,0.0,0.0
tfidf,cosine,0.6,0.8,python,False,0.0,0.0,0.0,0.0
tfidf,cosine,0.1,0.4,java,True,0.12300123001230012,0.0,0.0,0.0
tfidf,cosine,0.01,1.0,javascript,False,5.329153605015674,4.819277108433735,0.05146905317428821,0.02454885080974006
tfidf,cosine,800,1.0,go,True,13.855421686746988,13.461538461538462,0.10388009163993257,0.026445168061384583
tfidf,cosine,100,None,java,True,24.354243542435423,23.112128146453088,0.21902083453273177,0.09796794167921664
tfidf,cosine,0.1,0.9,python,False,0.10111223458038424,0.11376564277588168,0.002387681565420775,0.00036427632906519395
tfidf,cosine,0.0,0.8,python,True,22.143579373104146,23.208191126279864,0.27203700644559636,0.14618746430305518
tfidf,cosine,800,1.0,java,True,19.311193111931118,18.993135011441648,0.1699761050497522,0.08463060647055959
tfidf,cosine,0.5,0.9,javascript,True,0.0,0.0,0.0,0.0
tfidf,cosine,0.6,1.0,javascript,False,0.0,0.0,0.0,0.0
tfidf,cosine,0.2,1.0,python,False,0.10111223458038424,0.0,0.0,0.0
tfidf,cosine,50,0.9,go,True,19.879518072289155,21.153846153846153,0.21655261906719223,0.06139062611144017
tfidf,cosine,0.2,0.9,javascript,False,0.0,0.0,0.0,0.0
tfidf,cosine,0.4,0.9,python,True,0.0,0.0,0.0,0.0
tfidf,cosine,0.1,0.9,python,True,0.10111223458038424,0.11376564277588168,0.002387681565420775,0.00036427632906519395
tfidf,cosine,700,1.0,go,True,14.457831325301203,13.461538461538462,0.10388009163993257,0.027453223835817258
tfidf,cosine,0.4,0.5,java,False,0.0,0.0,0.0,0.0
tfidf,cosine,700,1.0,javascript,True,17.86833855799373,18.072289156626507,0.16126314890467813,0.06654810412279666
